Titulo,URL,Descripcion,limpieza,origenes
Greyhound,/title/tt6048922/,Action Drama History             Several months after the US entry into World War II an inexperienced US Navy commander must lead an Allied convoy being stalked by a German submarine wolf pack,action drama history several months us entry world war ii inexperienced us navy commander must lead allied convoy stalked german submarine wolf pack,action drama histori sever month us entri world war ii inexperienc us navi command must lead alli convoy stalk german submarin wolf pack
Black Flies,/title/tt9663896/,Drama Thriller             A young paramedic makes his way through his first year on the job in New York City,drama thriller young paramedic makes way first year job new york city,drama thriller young paramed make way first year job new york citi
Burnt,/title/tt2503944/,Comedy Drama             Adam Jones is a chef who destroyed his career with drugs and diva behavior He cleans up and returns to London determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars,comedy drama adam jones chef destroyed career drugs diva behavior cleans returns london determined redeem spearheading top restaurant gain three michelin stars,comedi drama adam jone chef destroy career drug diva behavior clean return london determin redeem spearhead top restaur gain three michelin star
Rio Bravo,/title/tt0053221/,Drama Western             A smalltown sheriff in the American West enlists the help of a disabled man a drunk and a young gunfighter in his efforts to hold in jail the brother of the local bad guy,drama western smalltown sheriff american west enlists help disabled man drunk young gunfighter efforts hold jail brother local bad guy,drama western smalltown sheriff american west enlist help disabl man drunk young gunfight effort hold jail brother local bad guy
EuroTrip,/title/tt0356150/,Comedy             Dumped by his girlfriend a high school grad decides to embark on an overseas adventure in Europe with his friends,comedy dumped girlfriend high school grad decides embark overseas adventure europe friends,comedi dump girlfriend high school grad decid embark oversea adventur europ friend
Piranha 3D,/title/tt0464154/,Comedy Horror             After a sudden underwater tremor sets free scores of the prehistoric maneating fish an unlikely group of strangers must band together to stop themselves from becoming fish food for the areas new razortoothed residents,comedy horror sudden underwater tremor sets free scores prehistoric maneating fish unlikely group strangers must band together stop becoming fish food areas new razortoothed residents,comedi horror sudden underwat tremor set free score prehistor maneat fish unlik group stranger must band togeth stop becom fish food area new razortooth resid
The Graduate,/title/tt0061722/,Comedy Drama Romance             A disillusioned college graduate finds himself torn between his older lover and her daughter,comedy drama romance disillusioned college graduate finds torn older lover daughter,comedi drama romanc disillus colleg graduat find torn older lover daughter
Space Jam,/title/tt0117705/,Animation Adventure Comedy             In a desperate attempt to win a basketball match and earn their freedom the Looney Tunes seek the aid of retired basketball champion Michael Jordan,animation adventure comedy desperate attempt win basketball match earn freedom looney tunes seek aid retired basketball champion michael jordan,anim adventur comedi desper attempt win basketbal match earn freedom looney tune seek aid retir basketbal champion michael jordan
Rush,/title/tt1979320/,Action Biography Drama             The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda,action biography drama merciless 1970s rivalry formula one rivals james hunt niki lauda,action biographi drama merciless 1970s rivalri formula one rival jame hunt niki lauda
Perfect Addiction,/title/tt12965390/,Action Drama Romance             A successful boxing trainer discovers that her boyfriend a reigning champion has been cheating on her with her own sister She sets out to get revenge by training the one man capable of dethroning him his archnemesis Kayden,action drama romance successful boxing trainer discovers boyfriend reigning champion cheating sister sets get revenge training one man capable dethroning archnemesis kayden,action drama romanc success box trainer discov boyfriend reign champion cheat sister set get reveng train one man capabl dethron archnemesi kayden
Stripes,/title/tt0083131/,Comedy War             Two friends who are dissatisfied with their jobs decide to join the army for a bit of fun,comedy war two friends dissatisfied jobs decide join army bit fun,comedi war two friend dissatisfi job decid join armi bit fun
